epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5577,0.71548,2.62169,0.92903,0.7897,0.67518,0.76369,0.65554,0.67417,1.51206,0.82933,0.000301032,0.000301032,0.000301032
2,94.7531,0.68125,1.41837,0.91461,0.77041,0.82546,0.85038,0.71927,0.70861,0.97539,0.84792,0.000598053,0.000598053,0.000598053
3,139.541,0.67428,1.16343,0.92104,0.76866,0.86482,0.83836,0.72298,0.7284,0.83307,0.84841,0.000889073,0.000889073,0.000889073
4,183.927,0.65807,0.97223,0.91586,0.82235,0.89793,0.87089,0.76017,0.71915,0.70658,0.85729,0.000882003,0.000882003,0.000882003
5,229.61,0.63188,0.80105,0.90843,0.84714,0.90481,0.88762,0.77624,0.6957,0.68129,0.84512,0.000873004,0.000873004,0.000873004
6,274.562,0.61952,0.75523,0.90619,0.85719,0.94809,0.90855,0.78835,0.66793,0.56978,0.8368,0.000864004,0.000864004,0.000864004
7,320.768,0.59441,0.66594,0.89399,0.79287,0.88153,0.85248,0.74333,0.65136,0.65297,0.82778,0.000855005,0.000855005,0.000855005
8,366.023,0.58826,0.61195,0.89241,0.80897,0.91511,0.88864,0.78242,0.6592,0.60686,0.83807,0.000846006,0.000846006,0.000846006
9,410.896,0.58226,0.57568,0.89391,0.81994,0.83374,0.8909,0.77769,0.64834,0.65008,0.82799,0.000837007,0.000837007,0.000837007
10,457.123,0.56431,0.55185,0.88267,0.91891,0.93745,0.9512,0.84326,0.70013,0.50605,0.8501,0.000828008,0.000828008,0.000828008
11,501.385,0.55574,0.52248,0.88265,0.88904,0.94483,0.94656,0.83108,0.61478,0.48775,0.81992,0.000819009,0.000819009,0.000819009
12,546.063,0.55967,0.50983,0.88581,0.90064,0.94443,0.92993,0.82358,0.5849,0.47747,0.80581,0.00081001,0.00081001,0.00081001
13,592.426,0.55239,0.50759,0.88135,0.85958,0.92706,0.92377,0.82252,0.60871,0.5511,0.8238,0.000801011,0.000801011,0.000801011
14,636.952,0.54268,0.47714,0.87552,0.86341,0.9107,0.90933,0.80024,0.54791,0.49007,0.79552,0.000792012,0.000792012,0.000792012
15,683.252,0.52898,0.46457,0.87569,0.92572,0.90315,0.9455,0.85233,0.56237,0.45416,0.80137,0.000783013,0.000783013,0.000783013
16,727.614,0.52886,0.45652,0.87332,0.9206,0.95415,0.95327,0.86458,0.5131,0.41227,0.7899,0.000774013,0.000774013,0.000774013
17,772.305,0.5287,0.45897,0.87688,0.91578,0.90242,0.92677,0.83748,0.62522,0.47851,0.818,0.000765014,0.000765014,0.000765014
18,818.036,0.51412,0.43799,0.86702,0.93925,0.86422,0.9377,0.84408,0.67443,0.4375,0.82342,0.000756015,0.000756015,0.000756015
19,862.328,0.506,0.4387,0.86978,0.92391,0.93738,0.93733,0.84564,0.65967,0.46832,0.82654,0.000747016,0.000747016,0.000747016
20,907.757,0.50823,0.43107,0.87364,0.93521,0.896,0.93907,0.83738,0.64095,0.52321,0.81634,0.000738017,0.000738017,0.000738017
